0,1
1,31
2,34
3,4
4,8
5,33
6,34
7,17
8,5
9,11
10,33
11,2
12,32
13,26
14,14
15,6
16,2
17,1
18,20
19,11
20,2
21,8
22,28
23,24
24,33
25,26
26,32
27,6
28,7
29,12
30,8
31,9
32,24
33,33
34,5
35,1
36,9
37,9
38,12
39,1
40,17
41,7
42,19
43,10
44,26
45,25
46,26
47,27
48,5
49,16
50,33
51,31
52,33
53,24
54,33
55,26
56,24
57,34
58,31
59,34
60,21
61,34
62,30
63,30
64,27
65,34
66,32
67,25
68,26
69,20
70,5
71,22
72,2
73,1
74,3
75,4
76,1
77,33
78,21
79,34
80,10
81,14
82,3
83,2
84,33
85,3
86,8
87,1
88,4
89,25
90,16
91,11
92,7
93,7
94,6
95,3
96,27
97,30
98,27
99,18
100,28
