0,1
1,20
2,24
3,28
4,34
5,31
6,34
7,17
8,8
9,4
10,29
11,20
12,2
13,18
14,25
15,34
16,20
17,20
18,1
19,17
20,8
21,22
22,2
23,1
24,5
25,1
26,5
27,7
28,6
29,17
30,16
31,33
32,30
33,24
34,22
35,1
36,3
37,2
38,18
39,2
40,25
41,3
42,32
43,30
44,18
45,1
46,2
47,11
48,1
49,13
50,4
51,30
52,27
53,30
54,12
55,5
56,19
57,34
58,21
59,34
60,4
61,3
62,10
63,3
64,33
65,16
66,4
67,26
68,7
69,11
70,1
71,3
72,1
73,2
74,7
75,5
76,1
77,12
78,1
79,2
80,26
81,4
82,13
83,19
84,34
85,16
86,1
87,13
88,18
89,25
90,10
91,19
92,33
93,12
94,26
95,24
96,17
97,28
98,2
99,1
100,33
101,5
102,4
103,8
104,3
105,20
106,8
107,34
108,3
109,8
110,21
111,13
112,1
113,7
114,6
115,11
116,1
117,4
118,2
119,4
120,1
121,18
122,2
123,15
124,26
125,25
126,32
127,25
128,17
129,14
130,1
131,15
132,34
133,19
134,24
135,26
136,24
137,33
138,19
139,34
140,14
141,1
142,5
143,1
144,6
145,24
146,7
147,1
148,25
149,11
150,5
151,6
152,7
153,6
154,17
155,7
156,5
157,11
158,12
159,11
160,29
161,12
162,1
163,7
164,26
165,25
166,26
167,24
168,33
169,16
170,34
171,26
172,4
173,16
174,33
175,6
176,11
177,18
178,6
179,19
180,2
181,26
182,25
183,28
184,24
185,28
186,34
187,32
188,34
189,20
190,1
191,8
192,4
193,25
194,15
195,34
196,30
197,29
198,22
199,16
200,34
201,13
202,8
203,21
204,33
205,21
206,34
207,31
208,20
209,34
210,32
211,26
212,25
213,26
214,12
215,14
216,1
217,28
218,28
219,25
220,19
221,33
222,15
223,34
224,24
225,34
226,3
227,1
228,27
229,31
230,22
231,1
232,2
233,18
234,13
235,4
236,24
237,27
238,34
239,19
240,18
241,2
242,20
243,20
244,3
245,34
246,33
247,32
248,26
249,24
250,33
251,24
252,34
253,27
254,30
255,25
256,26
257,17
258,9
259,34
260,32
261,25
262,28
263,34
264,9
265,27
266,30
267,24
268,31
269,4
270,1
271,15
272,28
273,34
274,20
275,32
276,22
277,2
278,20
279,29
280,34
281,11
282,34
283,12
284,13
285,15
286,34
287,12
288,26
289,2
290,18
291,1
292,22
293,23
294,33
295,15
296,30
297,33
298,32
299,29
300,34
